patent_number,filed,published,priority,title,google_patents_url
US20260127877A1,2025-12-22,2026-05-07,,Shared augmented reality system,https://patents.google.com/patent/US20260127877A1/en
US20260105496A1,2025-12-16,2026-04-16,2016-06-28,"Generation, curation, and presentation of media collections with automated &hellip;",https://patents.google.com/patent/US20260105496A1/en
US20260099865A1,2025-12-11,2026-04-09,2023-08-17,Chatbot recommendations from conversation context,https://patents.google.com/patent/US20260099865A1/en
US20260075391A1,2025-11-12,2026-03-12,2019-09-06,Non-textual communication and user states management,https://patents.google.com/patent/US20260075391A1/en
US20260057408A1,2025-10-28,2026-02-26,2021-12-30,Content-based incentive program within messaging system,https://patents.google.com/patent/US20260057408A1/en
US20260046264A1,2025-10-23,2026-02-12,2022-12-30,Quotable stories and stickers for messaging applications,https://patents.google.com/patent/US20260046264A1/en
US20260044557A1,2025-10-15,2026-02-12,2019-03-29,Context based media curation,https://patents.google.com/patent/US20260044557A1/en
US20260037653A1,2025-10-13,2026-02-05,2022-08-31,Selective collaborative object access based on timestamp,https://patents.google.com/patent/US20260037653A1/en
US20260032333A1,2025-10-01,2026-01-29,2023-07-31,Providing a template for media content generation,https://patents.google.com/patent/US20260032333A1/en
US20260011027A1,2025-09-10,2026-01-08,2023-03-15,Spatial scanning for extended reality,https://patents.google.com/patent/US20260011027A1/en
WO2026059997A1,2025-09-10,2026-03-19,2024-09-16,Depth estimation using odometry and hand tracking,https://patents.google.com/patent/WO2026059997A1/en
WO2026055014A1,2025-08-26,2026-03-12,2024-09-09,Spacial organizer for multimedia results in extended reality,https://patents.google.com/patent/WO2026055014A1/en
WO2026050169A1,2025-08-25,2026-03-05,2024-08-26,Adjusting performance of parallel augmented reality experiences,https://patents.google.com/patent/WO2026050169A1/en
WO2026054967A1,2025-08-18,2026-03-12,2024-09-09,Non-dominant hand gestures to control microphone input on head-wearable device,https://patents.google.com/patent/WO2026054967A1/en
US20250355953A1,2025-07-30,2025-11-20,2018-02-28,Audience filtering system,https://patents.google.com/patent/US20250355953A1/en
US20260017859A1,2025-07-22,2026-01-15,2016-06-30,Avatar based ideogram generation,https://patents.google.com/patent/US20260017859A1/en
US20250348518A1,2025-07-18,2025-11-13,2017-07-31,"Systems, devices, and methods for content selection",https://patents.google.com/patent/US20250348518A1/en
US20250343802A1,2025-07-15,2025-11-06,2023-01-18,User contact control in a network application,https://patents.google.com/patent/US20250343802A1/en
US20250328929A1,2025-06-30,2025-10-23,2017-09-21,Media preview system,https://patents.google.com/patent/US20250328929A1/en
US20260003473A1,2025-06-30,2026-01-01,2020-05-26,User classification based notification,https://patents.google.com/patent/US20260003473A1/en
US20250316035A1,2025-06-19,2025-10-09,2019-08-28,Generating 3d data in a messaging system,https://patents.google.com/patent/US20250316035A1/en
WO2025259490A1,2025-06-04,2025-12-18,2024-06-11,Mesh and texture generation using prompts,https://patents.google.com/patent/WO2025259490A1/en
US20250284900A1,2025-05-21,2025-09-11,2022-10-17,Sign language interpretation with collaborative agents,https://patents.google.com/patent/US20250284900A1/en
WO2025226546A1,2025-04-18,2025-10-30,2024-04-25,Remote detection of human movement signals,https://patents.google.com/patent/WO2025226546A1/en
WO2025221511A1,2025-04-08,2025-10-23,2024-04-16,Multifocal assembly for extended reality devices,https://patents.google.com/patent/WO2025221511A1/en
US20250218087A1,2025-03-19,2025-07-03,2021-03-31,Generating modified user content that includes additional text content,https://patents.google.com/patent/US20250218087A1/en
US20250209079A1,2025-03-06,2025-06-26,2019-12-30,Surfacing augmented reality objects,https://patents.google.com/patent/US20250209079A1/en
WO2025184634A1,2025-02-28,2025-09-04,2024-02-28,"Music information online platform, search and discovery systems, related &hellip;",https://patents.google.com/patent/WO2025184634A1/en
US20250217159A1,2025-02-27,2025-07-03,2020-07-24,Message-based processing with assignment of neural network layers to processor &hellip;,https://patents.google.com/patent/US20250217159A1/en
US20250190483A1,2025-02-20,2025-06-12,2015-05-05,Automated local story generation and curation,https://patents.google.com/patent/US20250190483A1/en
US20250193200A1,2025-01-07,2025-06-12,2018-09-28,Collaborative public user profile,https://patents.google.com/patent/US20250193200A1/en
