patent_number,kind,type,provenance,title,assignee,matched_assignee,inventor,priority_date,filing_date,publication_date,grant_date,pdf,google_patents_url,abstract
AU2019234104B2,B2,grant,other_assignee, Systems and methods of publishing a design,Canva Pty Ltd.,Snap Inc,Melanie Joy Perkins,2018-03-16,2019-03-14,2023-03-30,2023-03-30,https://patentimages.storage.googleapis.com/95/2f/42/45c2995dacd4e3/AU2019234104B2.pdf,https://patents.google.com/patent/AU2019234104B2/en,"A method includes storing, at one or more data storage devices, a design in a platform-independent format. The method also includes generating, at a web front end, a GUI including a publish option associated with the design. The method includes sending the GUI to a client device. The method also &hellip;"
CN107111828A,A,application,snap_filed, Prioritization of messages,斯纳普公司,Snap Inc|Snapchat Inc,T·M·塞恩,2014-10-24,2015-10-22,2017-08-29,,https://patentimages.storage.googleapis.com/50/e4/3f/fce13c6a592579/CN107111828A.pdf,https://patents.google.com/patent/CN107111828A/en,"Another way to evaluate the content is to evaluate the sender of the message. For example, if the sender of the message is a sponsor or <b>assignor</b>, the priority parameter is assigned according to the weight of favor attributed to the sponsoring sender or the assigning sender. Other factors that may &hellip;"
CN107273415A,A,application,snap_filed, Peer system can search for by the subject index based on instant messaging,史奈普查特股份有限公司,Snap Inc,A·A·仲,2012-12-06,2013-11-29,2017-10-20,,https://patentimages.storage.googleapis.com/c1/6c/8e/b1d7ec01dd1a6f/CN107273415A.pdf,https://patents.google.com/patent/CN107273415A/en,"&hellip;  the method to the Information locating on the theme, wherein identifying one The theme of dialogue includes： Identify one or more keyword of one dialogue； One or more of keywords are compared with the list of predetermined theme；And Based on it is described compare to one dialogue <b>assign</b> the theme."
CN107430767A,A,application,snap_filed, Object recognition based photo filters,斯纳普公司,Snap Inc|Snapchat Inc,S·昌,2015-01-09,2016-01-08,2017-12-01,,https://patentimages.storage.googleapis.com/c1/16/b5/a4e35f498461c7/CN107430767A.pdf,https://patents.google.com/patent/CN107430767A/en,Systems and methods for generating and distributing photo filters are described. The photo filter publishing application receives the filter data and the object criteria and generates a photo filter based on the filter data. The photo filter is associated with satisfaction of the object criteria.
CN109074390B,B,grant,snap_filed," Method and system for generation, curation and presentation of media &hellip;",斯纳普公司,Snap Inc,S·昌,2016-02-26,2017-02-23,2022-09-16,2022-09-16,https://patentimages.storage.googleapis.com/e9/72/90/f52b6cc40262fe/CN109074390B.pdf,https://patents.google.com/patent/CN109074390B/en,"&hellip;  activity, and the like. The list of media sets may include a list of all active media sets 212 and a list of upcoming media sets 214 . Each table may include an indication of what operator or curator 216 to <b>assign</b> to each media set. There may be one or more operators 108 assigned to each media set."
CN109247071A,A,application,snap_filed, Variable geo-fencing system,斯纳普公司,Snapchat Inc,F·阿兹穆迪,2016-04-04,2017-04-04,2019-01-18,,https://patentimages.storage.googleapis.com/5c/ff/4c/459d6865504b24/CN109247071A.pdf,https://patents.google.com/patent/CN109247071A/en,"In various embodiments, the boundaries of a geofence can be made variable based on the principles described herein. The term &#34;variable&#34; refers to the ability of something (in this case, the boundaries of a geofence) to change and adjust. In certain embodiments, a variable geofence system is &hellip;"
CN109247071B,B,grant,snap_filed, Variable Geofencing System,斯纳普公司,Snap Inc,F·阿兹穆迪,2016-04-04,2017-04-04,2021-11-02,2021-11-02,https://patentimages.storage.googleapis.com/33/47/43/9a5242e973e9f9/CN109247071B.pdf,https://patents.google.com/patent/CN109247071B/en,"receive event information including duration and media content; computing a value for the geofence based on the activity information and the predicted usage metric; and <b>Assign</b> the value to the geofence. 3. The computer-implemented method of claim 2, wherein the value of the geofence comprises a &hellip;"
CN109716781B,B,grant,snap_filed," System, apparatus, medium, and method for real-time rendering of video streams",斯纳普公司,Snap Inc,Y·莫纳斯提尔申,2016-07-18,2017-07-18,2021-12-21,2021-12-21,https://patentimages.storage.googleapis.com/d6/a4/94/8499d31c22a9f6/CN109716781B.pdf,https://patents.google.com/patent/CN109716781B/en,"Systems, apparatuses, media and methods for real-time rendering of video streams are provided. Systems and methods receive a frame depicting a portion of a face, identify a user input, and identify a location on the portion of the face corresponding to the user input. Systems and methods generate &hellip;"
CN109863532B,B,grant,snap_filed, Generate and display custom avatars in media overlays,斯纳普公司,Snap Inc,T·J·加西亚,2016-10-24,2017-10-23,2024-02-13,2024-02-13,https://patentimages.storage.googleapis.com/37/5c/06/bd9c6654fc5e3e/CN109863532B.pdf,https://patents.google.com/patent/CN109863532B/en,"Among other things, embodiments of the present disclosure improve the functionality of electronic messaging and imaging software and systems by generating and displaying media overlays with avatars of different users. For example, media overlays may be generated by the system and displayed in &hellip;"
CN110046274A,A,application,snap_filed, The system and method that Photo Filter is presented,斯纳普公司,Snap Inc,S·昌,2015-01-09,2016-01-08,2019-07-23,,https://patentimages.storage.googleapis.com/18/b2/c2/514134ef7eb6a3/CN110046274A.pdf,https://patents.google.com/patent/CN110046274A/en,"Systems and methods for generating and distributing photo filters are described. The photo filter publishing application receives filter data and object criteria, and generates photo filters based on the filter data. Photo filters are associated with the satisfaction of object criteria. The photo &hellip;"
