patent_number,type,tier,category,title,assignee,provenance,priority_date,filing_date,publication_date,grant_date,pdf,google_patents_url,abstract
KR20230060506A,application,Tier 1 — Core Spectacles,AR optics & display, Diffraction grating design method for augmented reality or virtual reality &hellip;,스냅 인코포레이티드,snap_filed,2020-09-01,2021-09-01,2023-05-04,,https://patentimages.storage.googleapis.com/d8/45/78/80bad3dc2f75f6/KR20230060506A.pdf,https://patents.google.com/patent/KR20230060506A/en,A diffractive grating is disclosed for use as an output element of a diffractive waveguide coupler for augmented reality or virtual reality displays. The grating includes an interleaved rectangular grating 1213 comprising an array 1211 of first rectangular periodic optical structures and an array &hellip;
KR20230172526A,application,Tier 1 — Core Spectacles,AR optics & display, Waveguides and diffraction gratings for augmented or virtual reality displays,스냅 인코포레이티드,snap_filed,2021-06-09,2022-06-06,2023-12-22,,https://patentimages.storage.googleapis.com/36/5b/e9/3c951aea114db0/KR20230172526A.pdf,https://patents.google.com/patent/KR20230172526A/en,"A waveguide 5002 for use in a virtual reality (VR) or augmented reality (AR) device is disclosed. Waveguide 5002 has an input region 5006 configured to couple light to waveguide 5003 such that the light propagates under total reflection (TIR) within waveguide 5002, and optics configured to receive &hellip;"
US20250322597A1,application,Tier 1 — Core Spectacles,AR optics & display, Multifocal assembly for extended reality devices,Snap Inc.,snap_filed,2024-04-16,2024-04-16,2025-10-16,,,https://patents.google.com/patent/US20250322597A1/en,"determine a presentation distance associated with the virtual object; <b>assign</b>, based on the presentation distance, the first focus distance to the virtual object; and in response to the assignment of the first focus distance to the virtual object, cause the virtual object to be rendered in the first &hellip;"
WO2025221511A1,application,Tier 1 — Core Spectacles,AR optics & display, Multifocal assembly for extended reality devices,Snap Inc.,snap_filed,2024-04-16,2025-04-08,2025-10-23,,,https://patents.google.com/patent/WO2025221511A1/en,"[0040] The virtual content may include at least one virtual object. The XR device may include a processor to determine a presentation distance associated with the virtual object, and <b>assign</b>, based on the presentation distance, a matching focus distance to the virtual object. In response to the &hellip;"
KR20240047454A,application,Tier 1 — Core Spectacles,Eyewear hardware & form factor, System-on-chip with simultaneous USB communication,스냅 인코포레이티드,snap_filed,2021-08-24,2022-07-29,2024-04-12,,https://patentimages.storage.googleapis.com/45/8e/ee/9b3e0a0b5ed8d0/KR20240047454A.pdf,https://patents.google.com/patent/KR20240047454A/en,"A frame having a first side and a second side, a first temple extending from a first side of the frame, a second temple extending from a second side of the frame, electronic components; a first system-on-chip (SoC) adjacent a first side of the frame coupled to the first set of electronic &hellip;"
US11099643B1,grant,Tier 1 — Core Spectacles,Eyewear hardware & form factor, Headware with computer and optical element for use therewith and systems &hellip;,Snap Inc.,snap_filed,2011-05-11,2019-10-29,2021-08-24,2021-08-24,https://patentimages.storage.googleapis.com/59/dc/1c/0c693377983b1a/US11099643.pdf,https://patents.google.com/patent/US11099643B1/en,"An apparatus for mounting on a head including a frame, A face-wearable near-ocular optics and a micro-display for displaying data in front of the eyes is provided. A computing device is coupled to the micro-display. At least one sensor is coupled to the computing device for receiving biometric &hellip;"
US11297224B2,grant,Tier 1 — Core Spectacles,Eyewear hardware & form factor, Automated eyewear device sharing system,Snap Inc.,snap_filed,2019-09-30,2019-09-30,2022-04-05,2022-04-05,https://patentimages.storage.googleapis.com/8f/f4/f4/28bd5e6fd860d8/US11297224.pdf,https://patents.google.com/patent/US11297224B2/en,"Systems, devices, media, and methods are described for capturing a series of raw images by portable electronic devices, such as wearable devices including eyewear, and automating the process of processing such raw images by a client mobile device, such as a smart phone, such automation including &hellip;"
US11451707B2,grant,Tier 1 — Core Spectacles,Eyewear hardware & form factor, Image capture eyewear with auto-send,Snap Inc.,snap_filed,2018-05-01,2021-03-31,2022-09-20,2022-09-20,https://patentimages.storage.googleapis.com/95/a0/8d/8c4e647f83134b/US11451707.pdf,https://patents.google.com/patent/US11451707B2/en,"a processor configured to <b>assign</b> one or more recipients to each of the first recipient indicator and the second recipient indicator, distinctly present one of the first recipient indicator or the second recipient indicator by the display system responsive to the selector, capture the image of the &hellip;"
US11563886B2,grant,Tier 1 — Core Spectacles,Eyewear hardware & form factor, Automated eyewear device sharing system,Snap Inc.,snap_filed,2019-09-30,2022-01-31,2023-01-24,2023-01-24,https://patentimages.storage.googleapis.com/cb/ff/89/e294414d9db275/US11563886.pdf,https://patents.google.com/patent/US11563886B2/en,"Systems, devices, media, and methods are described for capturing a series of raw images by portable electronic devices, such as wearable devices including eyewear, and automating the process of processing such raw images by a client mobile device, such as a smart phone, such automation including &hellip;"
US11778149B2,grant,Tier 1 — Core Spectacles,Eyewear hardware & form factor, Headware with computer and optical element for use therewith and systems &hellip;,Snap Inc.,snap_filed,2011-05-11,2021-08-09,2023-10-03,2023-10-03,https://patentimages.storage.googleapis.com/f0/f3/86/bfd974d1c23534/US11778149.pdf,https://patents.google.com/patent/US11778149B2/en,"An apparatus for mounting on a head including a frame, A face-wearable near-ocular optics and a micro-display for displaying data in front of the eyes is provided. A computing device is coupled to the micro-display. At least one sensor is coupled to the computing device for receiving biometric &hellip;"
